family,pfam_id,pratio,K,L,d,d_full,beta_star,beta_gen,KL,novelty,seqid,valid_aa
RRM,PF00076,0.5,68,71,21,1420,3.8483348970335034,8.0,0.185563694785239,0.3924523060229544,0.5393427230046949,1.0
RRM,PF00076,0.55,68,71,24,1420,3.8483348970335034,8.0,0.13420093007784056,0.42313546745922687,0.5374647887323942,1.0
RRM,PF00076,0.6,68,71,27,1420,3.8483348970335034,8.0,0.1113548630055717,0.42617423158582746,0.5455399061032863,1.0
RRM,PF00076,0.65,68,71,31,1420,3.8483348970335034,8.0,0.15531042304172693,0.45875636215847315,0.5384976525821595,1.0
RRM,PF00076,0.7,68,71,34,1420,3.8483348970335034,8.0,0.13521542574977158,0.462703313573343,0.5386854460093896,1.0
RRM,PF00076,0.75,68,71,38,1420,3.8483348970335034,8.0,0.08252407938254003,0.4772075218684679,0.5383098591549295,1.0
RRM,PF00076,0.8,68,71,43,1420,3.8483348970335034,8.0,0.0852781944352717,0.4967247955228018,0.5353051643192487,1.0
RRM,PF00076,0.85,68,71,48,1420,3.8483348970335034,8.0,0.06637230588330512,0.4822517589687054,0.5474178403755867,1.0
RRM,PF00076,0.9,68,71,53,1420,3.8483348970335034,8.0,0.066913413820402,0.5077416398462973,0.539718309859155,1.0
RRM,PF00076,0.95,68,71,59,1420,3.8483348970335034,8.0,0.05969708850608402,0.5125939049286244,0.5380281690140845,1.0
RRM,PF00076,0.99,68,71,65,1420,3.8483348970335034,8.0,0.05662984971026686,0.5443283346243187,0.5295774647887325,1.0
SH3,PF00018,0.5,55,48,15,960,3.234325130694131,6.0,0.08730748808999586,0.31184679996949344,0.60125,1.0
SH3,PF00018,0.55,55,48,17,960,3.234325130694131,6.0,0.08246874497129641,0.33641321687230086,0.5973611111111111,1.0
SH3,PF00018,0.6,55,48,19,960,3.234325130694131,6.0,0.07182613615266928,0.3715373233485873,0.5931944444444445,1.0
SH3,PF00018,0.65,55,48,22,960,3.234325130694131,6.0,0.05671881964356593,0.36839452018387303,0.6022222222222222,1.0
SH3,PF00018,0.7,55,48,25,960,3.234325130694131,6.0,0.039117894224653574,0.4021156705130896,0.5923611111111111,1.0
SH3,PF00018,0.75,55,48,28,960,3.234325130694131,6.0,0.052030962235149844,0.42791000161509696,0.5902777777777777,1.0
SH3,PF00018,0.8,55,48,32,960,3.234325130694131,6.0,0.038387669489209665,0.44651267023763175,0.5869444444444444,1.0
SH3,PF00018,0.85,55,48,36,960,3.8483348970335034,8.0,0.046378147220272434,0.4225513121967245,0.6055555555555556,1.0
SH3,PF00018,0.9,55,48,41,960,3.8483348970335034,8.0,0.03174660920764268,0.444039253780851,0.5958333333333333,1.0
SH3,PF00018,0.95,55,48,46,960,3.8483348970335034,8.0,0.035922512186724535,0.4707357312988196,0.5926388888888888,1.0
SH3,PF00018,0.99,55,48,53,960,3.8483348970335034,8.0,0.02012860986800971,0.4951517464030211,0.5847222222222221,1.0
WW,PF00397,0.5,420,31,33,620,5.448177226584068,11.0,0.1520404382427785,0.4101675186501715,0.6458064516129033,1.0
WW,PF00397,0.55,420,31,40,620,5.448177226584068,11.0,0.13894090176106305,0.45470505659466076,0.6348387096774193,1.0
WW,PF00397,0.6,420,31,47,620,5.448177226584068,11.0,0.13299676873189958,0.4759162065721665,0.630537634408602,1.0
WW,PF00397,0.65,420,31,57,620,5.448177226584068,11.0,0.12266794467480915,0.4899681335515718,0.6298924731182795,1.0
WW,PF00397,0.7,420,31,67,620,5.448177226584068,11.0,0.12540911142886968,0.530426610023247,0.6240860215053763,1.0
WW,PF00397,0.75,420,31,80,620,5.448177226584068,11.0,0.04126840745042339,0.5490584062669057,0.6187096774193548,1.0
WW,PF00397,0.8,420,31,95,620,5.448177226584068,11.0,0.028499797386755808,0.5876556149676758,0.6,1.0
WW,PF00397,0.85,420,31,115,620,5.448177226584068,11.0,0.02712318955824567,0.5968323893510311,0.595268817204301,1.0
WW,PF00397,0.9,420,31,142,620,5.448177226584068,11.0,0.020128153752451125,0.6357768723469479,0.5756989247311828,1.0
WW,PF00397,0.95,420,31,186,620,5.448177226584068,11.0,0.008099905510503018,0.6530000545433754,0.5623655913978494,1.0
WW,PF00397,0.99,420,31,269,620,5.448177226584068,11.0,0.004462802010469466,0.7055069880485605,0.5253763440860214,1.0
Kunitz,PF00014,0.5,99,53,23,1060,3.8483348970335034,8.0,0.053364078457126346,0.38727164254913843,0.6384905660377359,1.0
Kunitz,PF00014,0.55,99,53,27,1060,3.8483348970335034,8.0,0.05189043694150553,0.4139665210644354,0.6291823899371068,1.0
Kunitz,PF00014,0.6,99,53,31,1060,3.8483348970335034,8.0,0.04712288464589268,0.43301641426739157,0.6357232704402515,1.0
Kunitz,PF00014,0.65,99,53,35,1060,3.8483348970335034,8.0,0.03832476870598979,0.44335391916729566,0.6314465408805031,1.0
Kunitz,PF00014,0.7,99,53,40,1060,3.8483348970335034,8.0,0.03126840760943414,0.4692741376549256,0.6276729559748427,1.0
Kunitz,PF00014,0.75,99,53,46,1060,3.8483348970335034,8.0,0.03568642601384162,0.48833958127397553,0.6222641509433962,1.0
Kunitz,PF00014,0.8,99,53,53,1060,3.8483348970335034,8.0,0.022119328545048524,0.4998878324862014,0.6192452830188678,1.0
Kunitz,PF00014,0.85,99,53,60,1060,3.8483348970335034,8.0,0.0217609523585169,0.5276868167589579,0.6124528301886792,1.0
Kunitz,PF00014,0.9,99,53,69,1060,3.8483348970335034,8.0,0.023131097453331542,0.5349780296551262,0.6158490566037736,1.0
Kunitz,PF00014,0.95,99,53,80,1060,3.8483348970335034,8.0,0.012607126563084962,0.5566703893315366,0.6069182389937107,1.0
Kunitz,PF00014,0.99,99,53,93,1060,3.8483348970335034,8.0,0.011993511490087594,0.5734642100895472,0.6035220125786164,1.0
zf-C2H2,PF00096,0.5,151,23,28,460,4.57890931841707,9.0,0.1124332916425951,0.39731944277177494,0.6104347826086957,1.0
zf-C2H2,PF00096,0.55,151,23,33,460,4.57890931841707,9.0,0.11143293536033089,0.4253647333935277,0.6034782608695652,1.0
zf-C2H2,PF00096,0.6,151,23,38,460,4.57890931841707,9.0,0.036735454211606074,0.45794374660207277,0.5988405797101449,1.0
zf-C2H2,PF00096,0.65,151,23,43,460,4.57890931841707,9.0,0.029354892288990075,0.4651447928103892,0.601159420289855,1.0
zf-C2H2,PF00096,0.7,151,23,49,460,4.57890931841707,9.0,0.1063030350805699,0.48251110942533404,0.5953623188405796,1.0
zf-C2H2,PF00096,0.75,151,23,57,460,4.57890931841707,9.0,0.022997149215812064,0.5009333046287604,0.5930434782608694,1.0
zf-C2H2,PF00096,0.8,151,23,65,460,4.57890931841707,9.0,0.017170195993670576,0.5278895568328129,0.5834782608695651,1.0
zf-C2H2,PF00096,0.85,151,23,75,460,4.57890931841707,9.0,0.017856488981601866,0.5400952364910883,0.5782608695652174,1.0
zf-C2H2,PF00096,0.9,151,23,88,460,4.57890931841707,9.0,0.009951021932526175,0.5651166176263986,0.5718840579710144,1.0
zf-C2H2,PF00096,0.95,151,23,106,460,4.57890931841707,9.0,0.012527271739745285,0.5957338772868153,0.5573913043478259,1.0
zf-C2H2,PF00096,0.99,151,23,134,460,4.57890931841707,9.0,0.004725792245229798,0.6286426869315423,0.5394202898550724,1.0
PDZ,PF00595,0.5,44,83,12,1660,2.718281888383306,5.0,0.03775914934792547,0.2689357489122175,0.5580722891566264,1.0
PDZ,PF00595,0.55,44,83,14,1660,2.718281888383306,5.0,0.038129977235452736,0.3093439673486371,0.5490763052208835,1.0
PDZ,PF00595,0.6,44,83,16,1660,3.234325130694131,6.0,0.034678027539481515,0.30532882670358175,0.5635341365461848,1.0
PDZ,PF00595,0.65,44,83,18,1660,3.234325130694131,6.0,0.04347480704470799,0.3210732433143044,0.5447389558232931,1.0
PDZ,PF00595,0.7,44,83,20,1660,3.234325130694131,6.0,0.04208066627438195,0.33726703955488346,0.5534136546184738,1.0
PDZ,PF00595,0.75,44,83,23,1660,3.234325130694131,6.0,0.038215514557050405,0.35441286744314077,0.5526907630522088,1.0
PDZ,PF00595,0.8,44,83,25,1660,3.234325130694131,6.0,0.034500643510193475,0.35937686709205735,0.5487550200803214,1.0
PDZ,PF00595,0.85,44,83,28,1660,3.234325130694131,6.0,0.03401098549660122,0.39252233494927785,0.5402409638554215,1.0
PDZ,PF00595,0.9,44,83,32,1660,3.234325130694131,6.0,0.04587309207885334,0.4003985745112203,0.5435341365461848,1.0
PDZ,PF00595,0.95,44,83,37,1660,3.234325130694131,6.0,0.037509747185360716,0.417634046369623,0.542570281124498,1.0
PDZ,PF00595,0.99,44,83,42,1660,3.234325130694131,6.0,0.026275589621938763,0.4318666419435397,0.5440160642570281,1.0
Pkinase,PF00069,0.5,37,262,15,5240,3.234325130694131,6.0,0.04139645312702316,0.356111411161003,0.5009414758269721,1.0
Pkinase,PF00069,0.55,37,262,17,5240,3.234325130694131,6.0,0.040772760558771645,0.38137103313960397,0.5029262086513995,1.0
Pkinase,PF00069,0.6,37,262,18,5240,3.234325130694131,6.0,0.04119953397670677,0.39004502663731466,0.5003053435114505,1.0
Pkinase,PF00069,0.65,37,262,20,5240,3.234325130694131,6.0,0.03919692523807405,0.42220234715699867,0.4996692111959286,1.0
Pkinase,PF00069,0.7,37,262,22,5240,3.234325130694131,6.0,0.03820146303278854,0.4258053911083208,0.5060814249363866,1.0
Pkinase,PF00069,0.75,37,262,25,5240,3.234325130694131,6.0,0.037201728374449766,0.4397677286692895,0.5088549618320609,1.0
Pkinase,PF00069,0.8,37,262,27,5240,3.234325130694131,6.0,0.03510297905258389,0.4628480208377811,0.5060814249363867,1.0
Pkinase,PF00069,0.85,37,262,29,5240,3.234325130694131,6.0,0.03648794316592296,0.4554057729989308,0.5123918575063614,1.0
Pkinase,PF00069,0.9,37,262,31,5240,3.234325130694131,6.0,0.034611908130988064,0.47995320011673415,0.5091348600508906,1.0
Pkinase,PF00069,0.95,37,262,34,5240,3.234325130694131,6.0,0.03497144650185084,0.4775576820780185,0.5151653944020356,1.0
Pkinase,PF00069,0.99,37,262,36,5240,3.234325130694131,6.0,0.03524414232189167,0.49931870640722215,0.5121119592875317,1.0
Defensin_beta,PF00711,0.5,45,36,11,720,2.718281888383306,5.0,0.03627458260385909,0.22276551132985736,0.6792592592592593,1.0
Defensin_beta,PF00711,0.55,45,36,13,720,2.718281888383306,5.0,0.039614081254851746,0.24803428196792454,0.6762962962962963,1.0
Defensin_beta,PF00711,0.6,45,36,15,720,3.234325130694131,6.0,0.03447411218519857,0.2619185031189171,0.6775925925925925,1.0
Defensin_beta,PF00711,0.65,45,36,17,720,3.234325130694131,6.0,0.03158220355360291,0.25999316818558377,0.6862962962962964,1.0
Defensin_beta,PF00711,0.7,45,36,19,720,3.234325130694131,6.0,0.03030373850763417,0.3067052162186404,0.6679629629629629,1.0
Defensin_beta,PF00711,0.75,45,36,22,720,3.234325130694131,6.0,0.026179103601270674,0.30626073726307257,0.6766666666666666,1.0
Defensin_beta,PF00711,0.8,45,36,25,720,3.234325130694131,6.0,0.028837969499696928,0.31216284691304946,0.679814814814815,1.0
Defensin_beta,PF00711,0.85,45,36,28,720,3.234325130694131,6.0,0.021169641926194895,0.34919984963200396,0.668888888888889,1.0
Defensin_beta,PF00711,0.9,45,36,32,720,3.234325130694131,6.0,0.02009099611521036,0.3814889298888529,0.6566666666666666,1.0
Defensin_beta,PF00711,0.95,45,36,37,720,3.234325130694131,6.0,0.022424154844041092,0.40157039797557126,0.6548148148148147,1.0
Defensin_beta,PF00711,0.99,45,36,43,720,3.234325130694131,6.0,0.016290050870006387,0.4080684478727456,0.6568518518518517,1.0
