Family1,Family2,FreqCosSim,JSD
SH3,SH3,0.9999999999999996,0.0
SH3,Kunitz,0.7523973752898068,0.09584143757540545
SH3,zf-C2H2,0.6625920525828536,0.12769192306360103
SH3,WW,0.7882329855602295,0.07717012821338598
Kunitz,SH3,0.7523973752898068,0.09584143757540545
Kunitz,Kunitz,1.0,0.0
Kunitz,zf-C2H2,0.758421772192429,0.07781915246197652
Kunitz,WW,0.7581778473826976,0.09267039958125857
zf-C2H2,SH3,0.6625920525828536,0.12769192306360103
zf-C2H2,Kunitz,0.758421772192429,0.07781915246197652
zf-C2H2,zf-C2H2,1.0000000000000002,0.0
zf-C2H2,WW,0.7245224828731576,0.10464574601116386
WW,SH3,0.7882329855602295,0.07717012821338598
WW,Kunitz,0.7581778473826976,0.09267039958125857
WW,zf-C2H2,0.7245224828731576,0.10464574601116386
WW,WW,1.0,0.0
