Family,SeqIdx,ConsensusID
RRM,1,0.592
RRM,2,0.606
RRM,3,0.577
RRM,4,0.535
RRM,5,0.577
RRM,6,0.549
RRM,7,0.606
RRM,8,0.634
RRM,9,0.620
RRM,10,0.592
RRM,11,0.662
RRM,12,0.718
RRM,13,0.704
RRM,14,0.493
RRM,15,0.592
RRM,16,0.592
RRM,17,0.521
RRM,18,0.634
RRM,19,0.521
RRM,20,0.732
RRM,21,0.634
RRM,22,0.493
RRM,23,0.577
RRM,24,0.493
RRM,25,0.606
RRM,26,0.620
RRM,27,0.563
RRM,28,0.549
RRM,29,0.592
RRM,30,0.577
RRM,31,0.563
RRM,32,0.535
RRM,33,0.704
RRM,34,0.676
RRM,35,0.592
RRM,36,0.676
RRM,37,0.592
RRM,38,0.577
RRM,39,0.563
RRM,40,0.507
RRM,41,0.620
RRM,42,0.648
RRM,43,0.507
RRM,44,0.521
RRM,45,0.606
RRM,46,0.563
RRM,47,0.563
RRM,48,0.592
RRM,49,0.577
RRM,50,0.563
RRM,51,0.577
RRM,52,0.648
RRM,53,0.620
RRM,54,0.592
RRM,55,0.549
RRM,56,0.535
RRM,57,0.606
RRM,58,0.648
RRM,59,0.563
RRM,60,0.563
RRM,61,0.577
RRM,62,0.521
RRM,63,0.648
RRM,64,0.592
RRM,65,0.592
RRM,66,0.662
RRM,67,0.549
RRM,68,0.606
RRM,69,0.577
RRM,70,0.549
RRM,71,0.606
RRM,72,0.620
RRM,73,0.563
RRM,74,0.606
RRM,75,0.634
RRM,76,0.634
RRM,77,0.535
RRM,78,0.535
RRM,79,0.620
RRM,80,0.648
RRM,81,0.634
RRM,82,0.620
RRM,83,0.521
RRM,84,0.549
RRM,85,0.606
RRM,86,0.676
RRM,87,0.563
RRM,88,0.577
RRM,89,0.620
RRM,90,0.577
RRM,91,0.676
RRM,92,0.563
RRM,93,0.704
RRM,94,0.704
RRM,95,0.718
RRM,96,0.648
RRM,97,0.648
RRM,98,0.592
RRM,99,0.592
RRM,100,0.620
RRM,101,0.620
RRM,102,0.563
RRM,103,0.493
RRM,104,0.648
RRM,105,0.606
RRM,106,0.662
RRM,107,0.662
RRM,108,0.662
RRM,109,0.606
RRM,110,0.592
RRM,111,0.563
RRM,112,0.620
RRM,113,0.577
RRM,114,0.563
RRM,115,0.535
RRM,116,0.620
RRM,117,0.592
RRM,118,0.634
RRM,119,0.549
RRM,120,0.549
RRM,121,0.592
RRM,122,0.577
RRM,123,0.620
RRM,124,0.676
RRM,125,0.761
RRM,126,0.634
RRM,127,0.606
RRM,128,0.662
RRM,129,0.606
RRM,130,0.563
RRM,131,0.577
RRM,132,0.592
RRM,133,0.676
RRM,134,0.648
RRM,135,0.592
RRM,136,0.634
RRM,137,0.634
RRM,138,0.535
RRM,139,0.521
RRM,140,0.535
RRM,141,0.577
RRM,142,0.676
RRM,143,0.662
RRM,144,0.648
RRM,145,0.634
RRM,146,0.563
RRM,147,0.718
RRM,148,0.634
RRM,149,0.662
RRM,150,0.563
SH3,1,0.625
SH3,2,0.562
SH3,3,0.667
SH3,4,0.667
SH3,5,0.625
SH3,6,0.562
SH3,7,0.542
SH3,8,0.667
SH3,9,0.583
SH3,10,0.458
SH3,11,0.688
SH3,12,0.646
SH3,13,0.583
SH3,14,0.479
SH3,15,0.646
SH3,16,0.562
SH3,17,0.562
SH3,18,0.562
SH3,19,0.500
SH3,20,0.500
SH3,21,0.625
SH3,22,0.562
SH3,23,0.542
SH3,24,0.500
SH3,25,0.604
SH3,26,0.562
SH3,27,0.583
SH3,28,0.542
SH3,29,0.479
SH3,30,0.583
SH3,31,0.562
SH3,32,0.646
SH3,33,0.625
SH3,34,0.562
SH3,35,0.542
SH3,36,0.500
SH3,37,0.542
SH3,38,0.562
SH3,39,0.396
SH3,40,0.562
SH3,41,0.562
SH3,42,0.583
SH3,43,0.583
SH3,44,0.583
SH3,45,0.646
SH3,46,0.604
SH3,47,0.625
SH3,48,0.438
SH3,49,0.583
SH3,50,0.646
SH3,51,0.479
SH3,52,0.625
SH3,53,0.583
SH3,54,0.583
SH3,55,0.583
SH3,56,0.521
SH3,57,0.604
SH3,58,0.542
SH3,59,0.562
SH3,60,0.458
SH3,61,0.521
SH3,62,0.646
SH3,63,0.542
SH3,64,0.396
SH3,65,0.542
SH3,66,0.646
SH3,67,0.479
SH3,68,0.646
SH3,69,0.562
SH3,70,0.583
SH3,71,0.646
SH3,72,0.583
SH3,73,0.625
SH3,74,0.562
SH3,75,0.521
SH3,76,0.562
SH3,77,0.479
SH3,78,0.604
SH3,79,0.604
SH3,80,0.583
SH3,81,0.625
SH3,82,0.583
SH3,83,0.667
SH3,84,0.646
SH3,85,0.583
SH3,86,0.562
SH3,87,0.604
SH3,88,0.583
SH3,89,0.542
SH3,90,0.646
SH3,91,0.583
SH3,92,0.562
SH3,93,0.562
SH3,94,0.625
