Family,PfamID,Method,KL_mean,KL_se,Nov_mean,Nov_se,SID_mean,SID_se,ValidAA
RRM,PF00076,SA generation,0.05969708850608402,0.03608966783768898,0.5125939049286246,0.011339153068578921,0.5380281690140843,0.005591552761951225,1.0
RRM,PF00076,SA retrieval,0.10676928935664326,0.06141493818272161,0.33439858420367324,0.0197026837727996,0.6161502347417841,0.01230006166007278,1.0
RRM,PF00076,Bootstrap,0.0011718899603222162,0.0047849145244864555,-5.773159728050814e-17,2.9050734209062303e-17,1.0,0.0,0.9698591549295774
RRM,PF00076,HMM emit,0.009179366167266657,0.0052161510833392735,0.6469361043854808,0.005104100246807642,0.2092018779342723,0.0046137073260551905,1.0
RRM,PF00076,EvoDiff,0.005259690376408116,0.005796905502105673,0.5925469099838044,0.008499657385057757,0.38572769953051644,0.004527904874141265,1.0
RRM,PF00076,MSA Transformer,0.022257590888830295,0.00279963966956972,0.5716077312751533,0.007895305950487949,0.2663849765258213,0.007407012423651919,1.0
SH3,PF00018,SA generation,0.035922512186724535,0.02551522121812218,0.47073573129881985,0.011606115097597644,0.5926388888888886,0.006463262342709398,1.0
SH3,PF00018,SA retrieval,0.034518630446640365,0.10658271624198885,0.2133480184254041,0.012008215874226262,0.722361111111111,0.011186555409250119,1.0
SH3,PF00018,Bootstrap,0.0016286493668689393,0.01500166004705024,0.0,1.963066697501202e-17,1.0,0.0,0.977361111111111
SH3,PF00018,HMM emit,0.008504732846682987,0.01736407348264725,0.613766508343165,0.004376625900830455,0.28958333333333336,0.00583042483594126,1.0
SH3,PF00018,EvoDiff,0.0033145154766500203,0.02072716294621755,0.4337084003942881,0.01568335772973214,0.5094444444444441,0.011366087819480203,1.0
SH3,PF00018,MSA Transformer,0.010609816871734996,0.01569020689563314,0.5440333115454579,0.01138702657670622,0.41777777777777775,0.00795835799010577,1.0
WW,PF00397,SA generation,0.008099905510503018,0.012374073033367555,0.6530000545433755,0.005550259565418493,0.5623655913978486,0.004782977352151966,1.0
WW,PF00397,SA retrieval,0.04615168762747924,0.11954574274104432,0.3544311376063878,0.015766315340910456,0.7630107526881716,0.011195623115651216,1.0
WW,PF00397,Bootstrap,0.0017854207219341713,0.013714377746891382,6.513308411134252e-17,4.945550134345098e-17,1.0,0.0,0.9812903225806457
WW,PF00397,HMM emit,0.006901424692423795,0.019529795782421255,0.7059905321490854,0.0032279527082859703,0.38881720430107514,0.009018121960595883,1.0
WW,PF00397,EvoDiff,0.009070073774888308,0.011447066865763168,0.6423149189819513,0.00631341478133931,0.5086021505376344,0.0038272570214871625,1.0
WW,PF00397,MSA Transformer,0.04264350091287917,0.011284658443920417,0.6704047114441297,0.005504952443422055,0.41698924731182824,0.008440169398010327,1.0
