family,pfam_id,init,K,L,d,beta_star,beta_gen,KL,novelty,seqid,valid_aa,max_cos
RRM,PF00076,stored,68,71,59,3.8483348970335034,8.0,0.05969708850608402,0.5125939049286244,0.5380281690140845,1.0,0.4874060950713756
RRM,PF00076,random,68,71,59,3.8483348970335034,8.0,0.05938872047430135,0.5112299922133619,0.5388732394366197,1.0,0.4887700077866382
SH3,PF00018,stored,55,48,46,3.8483348970335034,8.0,0.035922512186724535,0.4707357312988196,0.5926388888888888,1.0,0.5292642687011804
SH3,PF00018,random,55,48,46,3.8483348970335034,8.0,0.035922512186724535,0.4707357312988196,0.5926388888888888,1.0,0.5292642687011804
WW,PF00397,stored,420,31,186,5.448177226584068,11.0,0.008099905510503018,0.6530000545433754,0.5623655913978494,1.0,0.3469999454566246
WW,PF00397,random,420,31,186,5.448177226584068,11.0,0.008099905510503018,0.6530000545433754,0.5623655913978494,1.0,0.3469999454566246
Kunitz,PF00014,stored,99,53,80,3.8483348970335034,8.0,0.012607126563084962,0.5566703893315366,0.6069182389937107,1.0,0.4433296106684635
Kunitz,PF00014,random,99,53,80,3.8483348970335034,8.0,0.012607126563084962,0.5566703893315366,0.6069182389937107,1.0,0.4433296106684635
zf-C2H2,PF00096,stored,151,23,106,4.57890931841707,9.0,0.012527271739745285,0.5957338772868153,0.5573913043478259,1.0,0.4042661227131849
zf-C2H2,PF00096,random,151,23,106,4.57890931841707,9.0,0.012527271739745285,0.5957338772868153,0.5573913043478259,1.0,0.4042661227131849
PDZ,PF00595,stored,44,83,37,3.234325130694131,6.0,0.037509747185360716,0.417634046369623,0.542570281124498,1.0,0.5823659536303771
PDZ,PF00595,random,44,83,37,3.234325130694131,6.0,0.037509747185360716,0.417634046369623,0.542570281124498,1.0,0.5823659536303771
Pkinase,PF00069,stored,37,262,34,3.234325130694131,6.0,0.03497144650185084,0.4775576820780185,0.5151653944020356,1.0,0.5224423179219816
Pkinase,PF00069,random,37,262,34,3.234325130694131,6.0,0.03497144650185084,0.4775576820780185,0.5151653944020356,1.0,0.5224423179219816
Defensin_beta,PF00711,stored,45,36,37,3.234325130694131,6.0,0.022424154844041092,0.40157039797557126,0.6548148148148147,1.0,0.5984296020244286
Defensin_beta,PF00711,random,45,36,37,3.234325130694131,6.0,0.022424154844041092,0.40157039797557126,0.6548148148148147,1.0,0.5984296020244286
