Family,PfamID,K,L,d_PCA,Method,β,MALA_AR,Novelty,Diversity,Energy,SeqID,ValidAA,KL_AA
RRM,PF00076,68,71,59,Convex combination,77,,0.5104559020989052,0.9941839926702384,-0.06796442175347436,0.5622535211267605,1.0,2.0911838289064923
RRM,PF00076,68,71,59,Gaussian perturbation,77,,0.007603179779531839,1.0017228833079979,-0.49220610669105513,0.6331455399061033,1.0,0.13243809978046636
RRM,PF00076,68,71,59,Bootstrap,77,,-9.62193288008469e-18,0.9997625853999801,-0.5000171887090565,0.6449765258215963,1.0,0.1332824959273579
RRM,PF00076,68,71,59,SA (generation),8,,0.6225292513909492,1.0014679958787414,3.082151152966414,0.5380281690140845,1.0,0.05969708850608402
RRM,PF00076,68,71,59,MALA,77,0.9978800000000001,0.24852784434706734,0.991966025532698,-0.11478167454824062,0.6088262910798122,1.0,0.11231990788574317
RRM,PF00076,68,71,59,SA (retrieval),77,,0.24315939272648965,0.9908718827029103,-0.11979794044744473,0.6161502347417839,1.0,0.10676928935664326
SH3,PF00018,55,48,46,Convex combination,77,,0.4735765249789628,0.9966215276214656,-0.07300299604154571,0.6009722222222222,1.0,0.7976288755588554
SH3,PF00018,55,48,46,Gaussian perturbation,77,,0.0057993892457302515,0.9995210631143447,-0.4939845876941618,0.7515277777777778,1.0,0.029767652974363283
SH3,PF00018,55,48,46,Bootstrap,77,,1.5543122344752193e-17,0.9993714217518282,-0.5000000000520061,0.7716666666666667,1.0,0.029551572729641006
SH3,PF00018,55,48,46,SA (generation),8,,0.585805638588832,1.0000602486208878,2.389691550742801,0.5926388888888888,1.0,0.035922512186724535
SH3,PF00018,55,48,46,MALA,77,0.9981266666666665,0.2082857012443939,0.9954617206922787,-0.200864814013286,0.720138888888889,1.0,0.03477306907395615
SH3,PF00018,55,48,46,SA (retrieval),77,,0.21366095664583615,0.9955911020749434,-0.19092607938316122,0.7223611111111111,1.0,0.034518630446640365
WW,PF00397,420,31,186,Convex combination,109,,0.6365758378073217,0.9875934863369383,-0.056282295432505326,0.766236559139785,1.0,1.3751453852703475
WW,PF00397,420,31,186,Gaussian perturbation,109,,0.0166380896919209,1.0015762462289615,-0.48286736375477146,0.8092473118279568,1.0,0.029426506278262352
WW,PF00397,420,31,186,Bootstrap,109,,4.810966440042345e-17,0.9986395886763871,-0.4999999999997732,0.8227956989247311,1.0,0.023901349846130494
WW,PF00397,420,31,186,SA (generation),11,,0.7407958104379806,0.9983547341660246,7.893467769068175,0.5623655913978494,1.0,0.008099905510503018
WW,PF00397,420,31,186,MALA,109,0.9961666666666666,0.38607312748686523,0.9786866168548477,0.3480194849026281,0.7496774193548388,1.0,0.04869023289977415
WW,PF00397,420,31,186,SA (retrieval),109,,0.3902331098056274,0.9809898259966305,0.3569511711231577,0.763010752688172,1.0,0.04615168762747924
Kunitz,PF00014,99,53,80,Convex combination,77,,0.5462966532935695,0.9925319402091165,-0.06463151490713767,0.5898113207547171,1.0,0.7212243236386988
Kunitz,PF00014,99,53,80,Gaussian perturbation,77,,0.010147694093690575,0.9989653251494652,-0.4896059858946004,0.8437735849056606,1.0,0.023626254664738503
Kunitz,PF00014,99,53,80,Bootstrap,77,,-7.179442225909345e-17,1.0013821372183993,-0.5000000000254544,0.8342138364779874,1.0,0.022552011248992886
Kunitz,PF00014,99,53,80,SA (generation),8,,0.6632904486001763,0.9999171588224944,4.327238269191228,0.6069182389937107,1.0,0.012607126563084962
Kunitz,PF00014,99,53,80,MALA,77,0.9975066666666667,0.30070025909131154,0.9909063147298864,0.012925265754515036,0.7623899371069182,1.0,0.03772222082713034
Kunitz,PF00014,99,53,80,SA (retrieval),77,,0.30209308847501226,0.99053719335419,0.013340306016002734,0.7603773584905661,1.0,0.036726571092594404
zf-C2H2,PF00096,151,23,106,Convex combination,92,,0.5801966953214772,0.9912984621684159,-0.05705454052549007,0.5997101449275363,1.0,2.3461241212178106
zf-C2H2,PF00096,151,23,106,Gaussian perturbation,92,,0.011176718774990473,1.000403174095503,-0.4884998267075917,0.9402898550724641,1.0,0.006627698461418393
zf-C2H2,PF00096,151,23,106,Bootstrap,92,,1.7763568394002505e-17,0.9994392827350925,-0.4999999999997422,0.93768115942029,1.0,0.006684478954849525
zf-C2H2,PF00096,151,23,106,SA (generation),9,,0.6923728251484718,1.0001217525174044,5.282763306476948,0.5573913043478259,1.0,0.012527271739745285
zf-C2H2,PF00096,151,23,106,MALA,92,0.99726,0.31706052964129966,0.9911980971349902,0.0794555641971198,0.8631884057971013,1.0,0.017560613999156302
zf-C2H2,PF00096,151,23,106,SA (retrieval),92,,0.3165190194530355,0.9918792993218452,0.07640177142064107,0.8481159420289854,1.0,0.021004415724925455
PDZ,PF00595,44,83,37,Convex combination,65,,0.44924778742056115,0.9955622497859699,-0.0860814498165066,0.5485140562248996,1.0,0.3387562938277016
PDZ,PF00595,44,83,37,Gaussian perturbation,65,,0.005518492363646175,0.9972506067156813,-0.49430395878829025,0.6481124497991968,1.0,0.04519805033360296
PDZ,PF00595,44,83,37,Bootstrap,65,,-8.067620645609471e-17,0.9987099999342306,-0.5000627140858454,0.6418473895582331,1.0,0.04055463253923911
